,peak_time,xcorrcoef,min_t,max_t,min_f,max_f,recording,deployment,site,label,datetime,recording_length
49,230.56,0.5936973146545197,230.09666666666664,231.0233333333333,5531.0,10125.0,1_20230816_120000.wav,6,1,fast_trill_6khz,2023-08-16 12:00:00,600.0
50,238.65066666666667,0.5836001357797609,238.18733333333333,239.114,5531.0,10125.0,1_20230816_120000.wav,6,1,fast_trill_6khz,2023-08-16 12:00:00,600.0
51,244.3733333333333,0.668915988614841,243.91,244.83666666666667,5531.0,10125.0,1_20230816_120000.wav,6,1,fast_trill_6khz,2023-08-16 12:00:00,600.0
52,258.736,0.6353400676993877,258.2726666666666,259.19933333333336,5531.0,10125.0,1_20230816_120000.wav,6,1,fast_trill_6khz,2023-08-16 12:00:00,600.0
53,264.56,0.6356149667977837,264.09666666666664,265.02333333333337,5531.0,10125.0,1_20230816_120000.wav,6,1,fast_trill_6khz,2023-08-16 12:00:00,600.0
54,51.904,0.5862096263196128,51.440666666666665,52.36733333333334,5531.0,10125.0,1_20230817_063000.wav,6,1,fast_trill_6khz,2023-08-17 06:30:00,600.0
55,61.70666666666666,0.5887608596648084,61.24333333333333,62.17,5531.0,10125.0,1_20230817_063000.wav,6,1,fast_trill_6khz,2023-08-17 06:30:00,600.0
64,471.776,0.5890841901452599,471.3126666666666,472.2393333333334,5531.0,10125.0,1_20230820_070000.wav,6,1,fast_trill_6khz,2023-08-20 07:00:00,600.0
65,481.9306666666666,0.6028019981340369,481.4673333333333,482.394,5531.0,10125.0,1_20230820_070000.wav,6,1,fast_trill_6khz,2023-08-20 07:00:00,600.0
76,31.664,0.597641759702441,31.200666666666667,32.12733333333333,5531.0,10125.0,1_20230822_063000.wav,6,1,fast_trill_6khz,2023-08-22 06:30:00,600.0
86,107.79733333333331,0.5956210607453614,107.334,108.26066666666664,5531.0,10125.0,1_20230824_070000.wav,6,1,fast_trill_6khz,2023-08-24 07:00:00,600.0
87,220.448,0.605442074664367,219.98466666666667,220.9113333333333,5531.0,10125.0,1_20230826_063000.wav,6,1,fast_trill_6khz,2023-08-26 06:30:00,600.0
88,233.664,0.5868483044246905,233.20066666666665,234.12733333333333,5531.0,10125.0,1_20230826_063000.wav,6,1,fast_trill_6khz,2023-08-26 06:30:00,600.0
89,242.272,0.5959050572860293,241.80866666666665,242.73533333333333,5531.0,10125.0,1_20230826_063000.wav,6,1,fast_trill_6khz,2023-08-26 06:30:00,600.0
90,274.08,0.6215907636011159,273.6166666666666,274.5433333333333,5531.0,10125.0,1_20230826_063000.wav,6,1,fast_trill_6khz,2023-08-26 06:30:00,600.0
91,318.82666666666665,0.6115101605660225,318.3633333333333,319.29,5531.0,10125.0,1_20230826_063000.wav,6,1,fast_trill_6khz,2023-08-26 06:30:00,600.0
92,170.05866666666665,0.6151806457581566,169.59533333333331,170.522,5531.0,10125.0,1_20230828_063000.wav,6,1,fast_trill_6khz,2023-08-28 06:30:00,600.0
93,174.76266666666666,0.6056009917277626,174.29933333333332,175.226,5531.0,10125.0,1_20230828_063000.wav,6,1,fast_trill_6khz,2023-08-28 06:30:00,600.0
94,177.6266666666667,0.5957272298946241,177.16333333333333,178.09,5531.0,10125.0,1_20230828_063000.wav,6,1,fast_trill_6khz,2023-08-28 06:30:00,600.0
95,193.10933333333327,0.5965114957937719,192.646,193.57266666666663,5531.0,10125.0,1_20230828_063000.wav,6,1,fast_trill_6khz,2023-08-28 06:30:00,600.0
96,216.60266666666664,0.5972917486874861,216.13933333333333,217.066,5531.0,10125.0,1_20230828_063000.wav,6,1,fast_trill_6khz,2023-08-28 06:30:00,600.0
97,229.9413333333333,0.5833027577914782,229.478,230.40466666666669,5531.0,10125.0,1_20230828_063000.wav,6,1,fast_trill_6khz,2023-08-28 06:30:00,600.0
106,152.01066666666668,0.5805221702432332,151.54733333333334,152.47400000000002,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
107,186.0053333333333,0.6095714687652631,185.542,186.46866666666668,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
108,387.7493333333333,0.5822382139965577,387.286,388.2126666666667,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
109,395.552,0.5897844576173843,395.08866666666665,396.0153333333334,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
110,406.02133333333336,0.591667685694203,405.558,406.4846666666667,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
111,433.1306666666667,0.632377517525979,432.6673333333333,433.5940000000001,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
112,442.144,0.611316949049248,441.6806666666666,442.6073333333334,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
113,487.1786666666667,0.6198084452210925,486.7153333333333,487.64200000000005,5531.0,10125.0,1_20230829_070000.wav,6,1,fast_trill_6khz,2023-08-29 07:00:00,600.0
114,508.77866666666665,0.5958130220425392,508.3153333333333,509.242,5531.0,10125.0,1_20230829_073000.wav,6,1,fast_trill_6khz,2023-08-29 07:30:00,600.0
118,548.6773333333333,0.5821014786862186,548.2139999999999,549.1406666666667,5531.0,10125.0,1_20230830_063000.wav,6,1,fast_trill_6khz,2023-08-30 06:30:00,600.0
119,566.4693333333333,0.5854426601576056,566.006,566.9326666666667,5531.0,10125.0,1_20230830_063000.wav,6,1,fast_trill_6khz,2023-08-30 06:30:00,600.0
120,575.408,0.6014103965446279,574.9446666666666,575.8713333333334,5531.0,10125.0,1_20230830_063000.wav,6,1,fast_trill_6khz,2023-08-30 06:30:00,600.0
121,580.6666666666666,0.5846051005497683,580.2033333333333,581.13,5531.0,10125.0,1_20230830_063000.wav,6,1,fast_trill_6khz,2023-08-30 06:30:00,600.0
122,587.856,0.5893881594455078,587.3926666666666,588.3193333333334,5531.0,10125.0,1_20230830_063000.wav,6,1,fast_trill_6khz,2023-08-30 06:30:00,600.0
123,240.10666666666663,0.5817997910192602,239.6433333333333,240.57,5531.0,10125.0,1_20230901_063000.wav,7,1,fast_trill_6khz,2023-09-01 06:30:00,600.0
139,164.04266666666666,0.5903537962068321,163.57933333333332,164.506,5531.0,10125.0,1_20230901_120000.wav,7,1,fast_trill_6khz,2023-09-01 12:00:00,600.0
140,390.50666666666666,0.593075000029739,390.0433333333333,390.97,5531.0,10125.0,1_20230902_070000.wav,7,1,fast_trill_6khz,2023-09-02 07:00:00,600.0
148,281.2693333333333,0.5873664580835942,280.806,281.7326666666667,5531.0,10125.0,1_20230907_063000.wav,7,1,fast_trill_6khz,2023-09-07 06:30:00,600.0
149,295.936,0.638773912345542,295.4726666666666,296.39933333333335,5531.0,10125.0,1_20230907_063000.wav,7,1,fast_trill_6khz,2023-09-07 06:30:00,600.0
150,95.472,0.5876817123606031,95.00866666666668,95.93533333333332,5531.0,10125.0,1_20230907_070000.wav,7,1,fast_trill_6khz,2023-09-07 07:00:00,600.0
154,6.794666666666667,0.6130750664339534,6.331333333333334,7.258,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
155,42.944,0.6027313537343659,42.48066666666667,43.40733333333333,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
156,50.09066666666666,0.6151956573899401,49.62733333333333,50.554,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
157,66.848,0.6070066789180687,66.38466666666667,67.31133333333332,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
158,75.664,0.6151792989879746,75.20066666666668,76.12733333333333,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
159,86.97066666666667,0.5896376807389524,86.50733333333335,87.434,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
160,158.22933333333333,0.5879526434739489,157.766,158.69266666666667,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
161,196.58133333333333,0.58141141833913,196.118,197.04466666666667,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
162,271.584,0.5883893600733625,271.12066666666664,272.04733333333337,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
163,329.5946666666667,0.5982805177236188,329.1313333333333,330.05800000000005,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
164,338.864,0.6164511007391018,338.4006666666666,339.32733333333334,5531.0,10125.0,1_20230908_063000.wav,7,1,fast_trill_6khz,2023-09-08 06:30:00,600.0
165,349.97333333333336,0.5812506197352436,349.51,350.4366666666667,5531.0,10125.0,1_20230908_070000.wav,7,1,fast_trill_6khz,2023-09-08 07:00:00,600.0
167,545.472,0.6034717256296493,545.0086666666666,545.9353333333333,5531.0,10125.0,1_20230909_173000.wav,7,1,fast_trill_6khz,2023-09-09 17:30:00,600.0
172,260.384,0.5982493026585393,259.92066666666665,260.8473333333334,5531.0,10125.0,1_20230911_073000.wav,7,1,fast_trill_6khz,2023-09-11 07:30:00,600.0
173,395.056,0.5825876341456137,394.5926666666666,395.51933333333335,5531.0,10125.0,1_20230911_073000.wav,7,1,fast_trill_6khz,2023-09-11 07:30:00,600.0
178,102.98133333333334,0.6285042830716195,102.518,103.44466666666666,5531.0,10125.0,1_20230912_173000.wav,7,1,fast_trill_6khz,2023-09-12 17:30:00,600.0
180,334.27733333333333,0.5985532734154976,333.814,334.7406666666667,5531.0,10125.0,1_20230913_073000.wav,7,1,fast_trill_6khz,2023-09-13 07:30:00,600.0
181,403.89866666666666,0.5915793250871019,403.4353333333333,404.362,5531.0,10125.0,1_20230913_073000.wav,7,1,fast_trill_6khz,2023-09-13 07:30:00,600.0
191,313.8666666666667,0.6002890882712862,313.4033333333333,314.33000000000004,5531.0,10125.0,1_20230914_063000.wav,7,1,fast_trill_6khz,2023-09-14 06:30:00,600.0
192,335.92,0.6140243712509681,335.45666666666665,336.3833333333334,5531.0,10125.0,1_20230914_063000.wav,7,1,fast_trill_6khz,2023-09-14 06:30:00,600.0
193,351.952,0.5941873962579567,351.48866666666663,352.41533333333336,5531.0,10125.0,1_20230914_063000.wav,7,1,fast_trill_6khz,2023-09-14 06:30:00,600.0
194,93.73866666666666,0.5992870135576813,93.27533333333334,94.20199999999998,5531.0,10125.0,1_20230915_060000.wav,7,1,fast_trill_6khz,2023-09-15 06:00:00,600.0
195,147.52,0.5833541239785532,147.05666666666667,147.98333333333335,5531.0,10125.0,1_20230915_060000.wav,7,1,fast_trill_6khz,2023-09-15 06:00:00,600.0
196,453.872,0.580935827108811,453.40866666666665,454.3353333333334,5531.0,10125.0,1_20230915_063000.wav,7,1,fast_trill_6khz,2023-09-15 06:30:00,600.0
197,497.70666666666665,0.615553872487588,497.2433333333333,498.17,5531.0,10125.0,1_20230915_063000.wav,7,1,fast_trill_6khz,2023-09-15 06:30:00,600.0
199,118.82666666666668,0.6212377707470996,118.36333333333334,119.29,5531.0,10125.0,1_20230916_060000.wav,7,1,fast_trill_6khz,2023-09-16 06:00:00,600.0
200,132.73066666666668,0.6064216931774604,132.26733333333334,133.19400000000002,5531.0,10125.0,1_20230916_060000.wav,7,1,fast_trill_6khz,2023-09-16 06:00:00,600.0
201,230.288,0.5895304811778945,229.82466666666667,230.7513333333333,5531.0,10125.0,1_20230916_060000.wav,7,1,fast_trill_6khz,2023-09-16 06:00:00,600.0
202,242.06933333333333,0.6016539602248636,241.606,242.53266666666667,5531.0,10125.0,1_20230916_060000.wav,7,1,fast_trill_6khz,2023-09-16 06:00:00,600.0
203,249.312,0.5802933699111995,248.84866666666667,249.7753333333333,5531.0,10125.0,1_20230916_060000.wav,7,1,fast_trill_6khz,2023-09-16 06:00:00,600.0
204,263.248,0.5872826171013396,262.7846666666666,263.71133333333336,5531.0,10125.0,1_20230916_060000.wav,7,1,fast_trill_6khz,2023-09-16 06:00:00,600.0
207,460.5386666666666,0.6045031253239983,460.0753333333333,461.002,5531.0,10125.0,1_20230916_173000.wav,7,1,fast_trill_6khz,2023-09-16 17:30:00,600.0
233,444.3733333333333,0.6521028805190721,444.128,444.6186666666667,2000.0,3840.0,1_20230321_070000.wav,1,1,nr_syllable_3khz,2023-03-21 07:00:00,600.0
234,445.19466666666665,0.6099669538206826,444.9493333333333,445.44,2000.0,3840.0,1_20230321_070000.wav,1,1,nr_syllable_3khz,2023-03-21 07:00:00,600.0
252,278.384,0.6026981582028413,278.13866666666667,278.62933333333336,2000.0,3840.0,1_20230327_073000.wav,1,1,nr_syllable_3khz,2023-03-27 07:30:00,600.0
253,279.16266666666667,0.6401683099755765,278.9173333333333,279.408,2000.0,3840.0,1_20230327_073000.wav,1,1,nr_syllable_3khz,2023-03-27 07:30:00,600.0
254,279.9413333333333,0.6074478763469092,279.696,280.18666666666667,2000.0,3840.0,1_20230327_073000.wav,1,1,nr_syllable_3khz,2023-03-27 07:30:00,600.0
255,280.6933333333333,0.6190475015774614,280.448,280.9386666666667,2000.0,3840.0,1_20230327_073000.wav,1,1,nr_syllable_3khz,2023-03-27 07:30:00,600.0
256,281.56266666666664,0.6518482673450824,281.3173333333333,281.808,2000.0,3840.0,1_20230327_073000.wav,1,1,nr_syllable_3khz,2023-03-27 07:30:00,600.0
257,284.176,0.6129935455943454,283.93066666666664,284.42133333333334,2000.0,3840.0,1_20230327_073000.wav,1,1,nr_syllable_3khz,2023-03-27 07:30:00,600.0
258,248.2133333333333,0.6434935599815668,247.968,248.45866666666663,2000.0,3840.0,1_20230328_060000.wav,1,1,nr_syllable_3khz,2023-03-28 06:00:00,600.0
259,248.976,0.6983466913448528,248.73066666666668,249.2213333333333,2000.0,3840.0,1_20230328_060000.wav,1,1,nr_syllable_3khz,2023-03-28 06:00:00,600.0
260,249.728,0.752526978531319,249.4826666666667,249.97333333333333,2000.0,3840.0,1_20230328_060000.wav,1,1,nr_syllable_3khz,2023-03-28 06:00:00,600.0
261,250.49066666666667,0.7314094667080806,250.2453333333333,250.736,2000.0,3840.0,1_20230328_060000.wav,1,1,nr_syllable_3khz,2023-03-28 06:00:00,600.0
262,251.296,0.7413123303350609,251.05066666666667,251.5413333333333,2000.0,3840.0,1_20230328_060000.wav,1,1,nr_syllable_3khz,2023-03-28 06:00:00,600.0
288,421.072,0.6687583907915756,420.82666666666665,421.31733333333335,2000.0,3840.0,1_20230413_120000.wav,2,1,nr_syllable_3khz,2023-04-13 12:00:00,600.0
289,421.936,0.6668116328479785,421.6906666666666,422.1813333333333,2000.0,3840.0,1_20230413_120000.wav,2,1,nr_syllable_3khz,2023-04-13 12:00:00,600.0
293,0.7413333333333333,0.681971507472867,0.496,0.9866666666666666,2000.0,3840.0,1_20230420_070000.wav,2,1,nr_syllable_3khz,2023-04-20 07:00:00,600.0
294,1.968,0.6108041800035456,1.7226666666666666,2.2133333333333334,2000.0,3840.0,1_20230420_070000.wav,2,1,nr_syllable_3khz,2023-04-20 07:00:00,600.0
295,4.512,0.6477528139045231,4.266666666666667,4.7573333333333325,2000.0,3840.0,1_20230420_070000.wav,2,1,nr_syllable_3khz,2023-04-20 07:00:00,600.0
296,72.48533333333333,0.6300346540210939,72.24,72.73066666666666,2000.0,3840.0,1_20230420_070000.wav,2,1,nr_syllable_3khz,2023-04-20 07:00:00,600.0
297,73.37066666666666,0.649906230872837,73.12533333333333,73.616,2000.0,3840.0,1_20230420_070000.wav,2,1,nr_syllable_3khz,2023-04-20 07:00:00,600.0
298,74.944,0.6483415727557602,74.69866666666667,75.18933333333334,2000.0,3840.0,1_20230420_070000.wav,2,1,nr_syllable_3khz,2023-04-20 07:00:00,600.0
299,78.896,0.6426566817468572,78.65066666666667,79.14133333333334,2000.0,3840.0,1_20230420_070000.wav,2,1,nr_syllable_3khz,2023-04-20 07:00:00,600.0
313,355.072,0.6603841959516555,354.82666666666665,355.3173333333333,2000.0,3840.0,1_20230424_060000.wav,2,1,nr_syllable_3khz,2023-04-24 06:00:00,600.0
314,398.14933333333335,0.7115422186680169,397.904,398.3946666666667,2000.0,3840.0,1_20230424_060000.wav,2,1,nr_syllable_3khz,2023-04-24 06:00:00,600.0
315,167.97866666666667,0.6122515702595719,167.73333333333335,168.224,2000.0,3840.0,1_20230425_070000.wav,2,1,nr_syllable_3khz,2023-04-25 07:00:00,600.0
318,519.5413333333333,0.6219767037891388,519.296,519.7866666666666,2000.0,3840.0,1_20230426_070000.wav,2,1,nr_syllable_3khz,2023-04-26 07:00:00,600.0
319,319.776,0.6017186610877862,319.53066666666666,320.02133333333336,2000.0,3840.0,1_20230429_073000.wav,2,1,nr_syllable_3khz,2023-04-29 07:30:00,600.0
320,320.49066666666664,0.6478174915339017,320.2453333333333,320.736,2000.0,3840.0,1_20230429_073000.wav,2,1,nr_syllable_3khz,2023-04-29 07:30:00,600.0
321,321.25333333333333,0.6248712117876897,321.008,321.4986666666667,2000.0,3840.0,1_20230429_073000.wav,2,1,nr_syllable_3khz,2023-04-29 07:30:00,600.0
322,322.848,0.6491090612616948,322.60266666666666,323.09333333333336,2000.0,3840.0,1_20230429_073000.wav,2,1,nr_syllable_3khz,2023-04-29 07:30:00,600.0
323,323.6693333333333,0.6759581684558562,323.424,323.9146666666667,2000.0,3840.0,1_20230429_073000.wav,2,1,nr_syllable_3khz,2023-04-29 07:30:00,600.0
324,324.4533333333333,0.6392084719319664,324.208,324.69866666666667,2000.0,3840.0,1_20230429_073000.wav,2,1,nr_syllable_3khz,2023-04-29 07:30:00,600.0
325,474.352,0.6289146610310422,474.1066666666666,474.5973333333333,2000.0,3840.0,1_20230430_120000.wav,2,1,nr_syllable_3khz,2023-04-30 12:00:00,600.0
326,475.12,0.613499614362182,474.87466666666666,475.36533333333335,2000.0,3840.0,1_20230430_120000.wav,2,1,nr_syllable_3khz,2023-04-30 12:00:00,600.0
327,475.968,0.6376111619148488,475.7226666666666,476.21333333333337,2000.0,3840.0,1_20230430_120000.wav,2,1,nr_syllable_3khz,2023-04-30 12:00:00,600.0
328,476.688,0.6718557635179377,476.4426666666666,476.9333333333333,2000.0,3840.0,1_20230430_120000.wav,2,1,nr_syllable_3khz,2023-04-30 12:00:00,600.0
329,477.424,0.6801756696662655,477.1786666666666,477.6693333333333,2000.0,3840.0,1_20230430_120000.wav,2,1,nr_syllable_3khz,2023-04-30 12:00:00,600.0
330,527.3706666666667,0.6277933765434229,527.1253333333334,527.616,2000.0,3840.0,1_20230430_120000.wav,2,1,nr_syllable_3khz,2023-04-30 12:00:00,600.0
331,49.744,0.6155631529340244,49.498666666666665,49.989333333333335,2000.0,3840.0,1_20230501_073000.wav,2,1,nr_syllable_3khz,2023-05-01 07:30:00,600.0
346,130.656,0.6273966283503947,130.41066666666669,130.90133333333333,2000.0,3840.0,1_20230506_073000.wav,2,1,nr_syllable_3khz,2023-05-06 07:30:00,600.0
347,131.45066666666668,0.6246585873256414,131.20533333333336,131.696,2000.0,3840.0,1_20230506_073000.wav,2,1,nr_syllable_3khz,2023-05-06 07:30:00,600.0
348,132.24,0.63732097367099,131.9946666666667,132.48533333333333,2000.0,3840.0,1_20230506_073000.wav,2,1,nr_syllable_3khz,2023-05-06 07:30:00,600.0
349,132.976,0.6077049706554712,132.73066666666668,133.22133333333332,2000.0,3840.0,1_20230506_073000.wav,2,1,nr_syllable_3khz,2023-05-06 07:30:00,600.0
350,133.76,0.6414206113276555,133.51466666666667,134.0053333333333,2000.0,3840.0,1_20230506_073000.wav,2,1,nr_syllable_3khz,2023-05-06 07:30:00,600.0
351,134.512,0.6659055256527645,134.26666666666668,134.75733333333332,2000.0,3840.0,1_20230506_073000.wav,2,1,nr_syllable_3khz,2023-05-06 07:30:00,600.0
352,593.2586666666666,0.7071246237274099,593.0133333333333,593.5039999999999,2000.0,3840.0,1_20230508_060000.wav,2,1,nr_syllable_3khz,2023-05-08 06:00:00,600.0
353,32.74133333333333,0.6538578591206474,32.495999999999995,32.986666666666665,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
354,33.41866666666667,0.6501444541303317,33.17333333333333,33.664,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
355,34.128,0.6188713837612507,33.882666666666665,34.373333333333335,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
356,133.93066666666667,0.6040614861875869,133.68533333333335,134.176,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
357,134.63466666666667,0.6338568356495204,134.38933333333335,134.88,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
358,135.33333333333334,0.6623077499890349,135.08800000000002,135.57866666666666,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
359,136.064,0.6774682235495038,135.81866666666667,136.3093333333333,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
360,136.784,0.6483955025582478,136.53866666666667,137.0293333333333,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
361,137.53066666666666,0.6719221820551183,137.28533333333334,137.77599999999998,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
362,138.27733333333333,0.6511623594108809,138.032,138.52266666666665,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
363,267.6,0.6097902745794421,267.3546666666667,267.8453333333334,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
364,289.6693333333333,0.679751596016735,289.424,289.9146666666667,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
365,290.46933333333334,0.7096799805847039,290.224,290.7146666666667,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
366,291.22133333333335,0.6720646685287429,290.976,291.4666666666667,2000.0,3840.0,1_20230512_070000.wav,3,1,nr_syllable_3khz,2023-05-12 07:00:00,600.0
382,251.728,0.6207014105653124,251.4826666666667,251.97333333333333,2000.0,3840.0,1_20230609_063000.wav,4,1,nr_syllable_3khz,2023-06-09 06:30:00,600.0
384,121.30133333333332,0.6268637757686462,121.056,121.54666666666668,2000.0,3840.0,1_20230612_073000.wav,4,1,nr_syllable_3khz,2023-06-12 07:30:00,600.0
386,242.24,0.6243719241354513,241.9946666666667,242.48533333333333,2000.0,3840.0,1_20230710_063000.wav,5,1,nr_syllable_3khz,2023-07-10 06:30:00,600.0
387,557.4773333333334,0.6589018285903397,557.2320000000001,557.7226666666667,2000.0,3840.0,1_20230710_063000.wav,5,1,nr_syllable_3khz,2023-07-10 06:30:00,600.0
