min_t,max_t,min_f,max_f,label,recording
282.256,283.36,5770.63,7943.32,fast_trill_6khz,1_20230803_070000.wav
293.696,294.896,5836.87,8409.77,fast_trill_6khz,1_20230803_070000.wav
313.184,314.352,5836.87,7853.18,fast_trill_6khz,1_20230803_070000.wav
321.232,322.32,5770.63,7853.18,fast_trill_6khz,1_20230803_070000.wav
331.728,332.784,5836.87,8034.49,fast_trill_6khz,1_20230803_070000.wav
360.768,362.016,5640.41,7943.32,fast_trill_6khz,1_20230803_070000.wav
373.024,374.176,5770.63,8219.99,fast_trill_6khz,1_20230803_070000.wav
433.552,434.928,5836.87,8034.49,fast_trill_6khz,1_20230803_070000.wav
442.704,443.744,5770.63,7853.18,fast_trill_6khz,1_20230803_070000.wav
450.56,451.536,5770.63,8034.49,fast_trill_6khz,1_20230803_070000.wav
454.992,455.952,5705.15,7853.18,fast_trill_6khz,1_20230803_070000.wav
466.848,468.176,5770.63,7853.18,fast_trill_6khz,1_20230803_070000.wav
473.776,474.784,5705.15,7853.18,fast_trill_6khz,1_20230803_070000.wav
494.464,495.6,5770.63,7675.96,fast_trill_6khz,1_20230803_070000.wav
518.704,519.76,5836.87,7675.96,fast_trill_6khz,1_20230803_070000.wav
527.082666667,528.277333333,5836.87,7675.96,fast_trill_6khz,1_20230803_070000.wav
535.146666667,536.426666667,5576.41,7943.32,fast_trill_6khz,1_20230803_070000.wav
239.112,240.432,5836.87,8126.71,fast_trill_6khz,1_20230812_073000.wav
258.144,259.392,5836.87,8034.49,fast_trill_6khz,1_20230812_073000.wav
280.008,281.16,5770.63,7764.07,fast_trill_6khz,1_20230812_073000.wav
297.376,298.24,5903.86,7764.07,fast_trill_6khz,1_20230812_073000.wav
306.496,307.536,5971.63,7943.32,fast_trill_6khz,1_20230812_073000.wav
339.52,340.629333333,6040.17,7853.18,fast_trill_6khz,1_20230812_073000.wav
365.136,366.192,5836.87,8126.71,fast_trill_6khz,1_20230812_073000.wav
377.872,378.944,5971.63,7764.07,fast_trill_6khz,1_20230812_073000.wav
452.08,452.928,5903.86,8314.34,fast_trill_6khz,1_20230812_073000.wav
546.112,547.104,5903.86,7943.32,fast_trill_6khz,1_20230812_073000.wav
191.402666667,192.832,6048.19,8441.07,fast_trill_6khz,1_20230901_120000.wav
494.2,494.68,2702.46,4156.77,nr_syllable_3khz,1_20230901_120000.wav
494.8,495.266666667,2665.18,4042.89,nr_syllable_3khz,1_20230901_120000.wav
495.426666667,496.013333333,2521.15,4099.44,nr_syllable_3khz,1_20230901_120000.wav
496.16,496.653333333,2665.18,4156.77,nr_syllable_3khz,1_20230901_120000.wav
496.893333333,497.346666667,2556.41,4333.64,nr_syllable_3khz,1_20230901_120000.wav
497.453333333,497.84,2778.58,4273.87,nr_syllable_3khz,1_20230901_120000.wav
498.146666667,498.626666667,2817.44,4099.44,nr_syllable_3khz,1_20230901_120000.wav
498.76,499.32,2817.44,4455.71,nr_syllable_3khz,1_20230901_120000.wav
499.453333333,500.053333333,2702.46,4156.77,nr_syllable_3khz,1_20230901_120000.wav
593.909333333,594.517333333,2521.15,3987.13,nr_syllable_3khz,1_20230901_120000.wav
595.253333333,595.797333333,2452.07,3617.72,nr_syllable_3khz,1_20230901_120000.wav
596.266666667,596.757333333,2384.9,3824.4,nr_syllable_3khz,1_20230901_120000.wav
597.28,597.813333333,2287.56,3877.89,nr_syllable_3khz,1_20230901_120000.wav
598.314666667,598.912,2556.41,3824.4,nr_syllable_3khz,1_20230901_120000.wav
18.2,18.694666667,2537.26,4051.13,nr_syllable_3khz,1_20230813_073000.wav
18.816,19.413333333,2315.87,3870.35,nr_syllable_3khz,1_20230813_073000.wav
20.374666667,20.888,2042.65,3959.71,nr_syllable_3khz,1_20230813_073000.wav
21.065333333,21.569333333,1907.46,3914.77,nr_syllable_3khz,1_20230813_073000.wav
21.765333333,22.484,1951.5,3870.35,nr_syllable_3khz,1_20230813_073000.wav
22.558666667,23.193333333,2162.59,4051.13,nr_syllable_3khz,1_20230813_073000.wav
23.277333333,23.921333333,1781.22,3870.35,nr_syllable_3khz,1_20230813_073000.wav
24.014666667,24.630666667,1907.46,3870.35,nr_syllable_3khz,1_20230813_073000.wav
24.668,25.424,1663.33,3914.77,nr_syllable_3khz,1_20230813_073000.wav
43.404,44.64,5705.15,9109.17,fast_trill_6khz,1_20230813_073000.wav
83.808,84.42,2595.83,4144.66,nr_syllable_3khz,1_20230813_073000.wav
85.236,85.848,2212.52,3914.77,nr_syllable_3khz,1_20230813_073000.wav
86.28,86.976,2424.03,3959.71,nr_syllable_3khz,1_20230813_073000.wav
98.892,99.36,2212.52,4097.63,nr_syllable_3khz,1_20230813_073000.wav
99.576,100.128,1996.55,3914.77,nr_syllable_3khz,1_20230813_073000.wav
100.212,100.836,2212.52,3826.43,nr_syllable_3khz,1_20230813_073000.wav
100.884,101.496,2212.52,4051.13,nr_syllable_3khz,1_20230813_073000.wav
101.568,102.112,1741.02,3959.71,nr_syllable_3khz,1_20230813_073000.wav
102.256,102.896,1741.02,3870.35,nr_syllable_3khz,1_20230813_073000.wav
102.968,103.536,1761.0,3826.43,nr_syllable_3khz,1_20230813_073000.wav
103.64,104.28,1761.0,3783.01,nr_syllable_3khz,1_20230813_073000.wav
104.32,104.92,1761.0,3826.43,nr_syllable_3khz,1_20230813_073000.wav
105.008,105.672,1822.34,3870.35,nr_syllable_3khz,1_20230813_073000.wav
105.672,106.32,1822.34,3914.77,nr_syllable_3khz,1_20230813_073000.wav
106.4,107.16,1822.34,4097.63,nr_syllable_3khz,1_20230813_073000.wav
115.464,116.112,2162.59,4005.16,nr_syllable_3khz,1_20230813_073000.wav
116.172,116.796,2263.6,4005.16,nr_syllable_3khz,1_20230813_073000.wav
116.904,117.54,2066.09,3959.71,nr_syllable_3khz,1_20230813_073000.wav
117.624,118.212,1951.5,3914.77,nr_syllable_3khz,1_20230813_073000.wav
118.308,118.968,1996.55,4005.16,nr_syllable_3khz,1_20230813_073000.wav
119.052,119.664,2042.65,3870.35,nr_syllable_3khz,1_20230813_073000.wav
119.748,120.468,1885.81,3826.43,nr_syllable_3khz,1_20230813_073000.wav
120.552,121.176,1907.46,3783.01,nr_syllable_3khz,1_20230813_073000.wav
181.128,181.944,5836.87,8603.93,fast_trill_6khz,1_20230813_073000.wav
186.816,187.572,5903.86,8126.71,fast_trill_6khz,1_20230813_073000.wav
190.236,191.268,5640.41,8314.34,fast_trill_6khz,1_20230813_073000.wav
216.84,218.04,5770.63,8506.29,fast_trill_6khz,1_20230813_073000.wav
222.024,223.116,5903.86,8314.34,fast_trill_6khz,1_20230813_073000.wav
536.46,538.092,5836.87,8219.99,fast_trill_6khz,1_20230813_073000.wav
545.004,546.216,5971.63,8409.77,fast_trill_6khz,1_20230813_073000.wav
552.864,554.016,5971.63,8034.49,fast_trill_6khz,1_20230813_073000.wav
553.968,554.016,5971.63,6040.17,fast_trill_6khz,1_20230813_073000.wav
559.332,560.628,6040.17,8219.99,fast_trill_6khz,1_20230813_073000.wav
564.54,565.836,5971.63,8219.99,fast_trill_6khz,1_20230813_073000.wav
568.656,569.628,5971.63,7943.32,fast_trill_6khz,1_20230813_073000.wav
575.592,576.672,5903.86,8126.71,fast_trill_6khz,1_20230813_073000.wav
578.94,579.912,5971.63,7764.07,fast_trill_6khz,1_20230813_073000.wav
36.86,37.706666667,1483.81,4301.18,triangle_3khz,1_20230323_073000.wav
63.936,64.522666667,1630.54,3708.76,triangle_3khz,1_20230323_073000.wav
67.428666667,67.881333333,1444.36,3967.19,triangle_3khz,1_20230323_073000.wav
70.21,70.653333333,1350.27,4021.0,triangle_3khz,1_20230323_073000.wav
73.5,73.95,1587.2,4243.62,triangle_3khz,1_20230323_073000.wav
77.268,77.7,1565.96,4075.53,triangle_3khz,1_20230323_073000.wav
79.968,80.364,1652.66,3914.1,triangle_3khz,1_20230323_073000.wav
84.132,84.828,1463.95,3759.07,triangle_3khz,1_20230323_073000.wav
86.244,86.784,1652.66,3861.73,triangle_3khz,1_20230323_073000.wav
89.148,89.652,1608.73,3810.05,triangle_3khz,1_20230323_073000.wav
92.172,92.748,1675.07,4021.0,triangle_3khz,1_20230323_073000.wav
94.908,95.364,1483.81,3659.13,triangle_3khz,1_20230323_073000.wav
100.709333333,101.093333333,1720.82,3914.1,triangle_3khz,1_20230323_073000.wav
103.936,104.282666667,1697.79,3561.86,triangle_3khz,1_20230323_073000.wav
107.664,108.156,1652.66,3514.2,triangle_3khz,1_20230323_073000.wav
109.836,110.34,1767.82,3861.73,triangle_3khz,1_20230323_073000.wav
112.512,112.98,1720.82,3610.17,triangle_3khz,1_20230323_073000.wav
114.456,114.912,1767.82,3561.86,triangle_3khz,1_20230323_073000.wav
116.832,117.288,1744.16,3467.17,triangle_3khz,1_20230323_073000.wav
119.328,119.76,1816.1,3420.78,triangle_3khz,1_20230323_073000.wav
122.352,122.784,1865.69,3861.73,triangle_3khz,1_20230323_073000.wav
125.34,125.724,1744.16,3659.13,triangle_3khz,1_20230323_073000.wav
128.028,128.484,1942.64,3659.13,triangle_3khz,1_20230323_073000.wav
131.16,131.628,1720.82,3659.13,triangle_3khz,1_20230323_073000.wav
134.172,134.592,1791.79,3759.07,triangle_3khz,1_20230323_073000.wav
137.256,137.652,1767.82,3708.76,triangle_3khz,1_20230323_073000.wav
140.76,141.168,1840.73,3810.05,triangle_3khz,1_20230323_073000.wav
143.004,143.52,1720.82,3759.07,triangle_3khz,1_20230323_073000.wav
145.236,145.596,1791.79,3610.17,triangle_3khz,1_20230323_073000.wav
147.768,148.344,1916.65,3514.2,triangle_3khz,1_20230323_073000.wav
151.5,151.872,1767.82,3561.86,triangle_3khz,1_20230323_073000.wav
154.104,154.56,1720.82,3561.86,triangle_3khz,1_20230323_073000.wav
157.212,157.596,1767.82,3759.07,triangle_3khz,1_20230323_073000.wav
162.924,163.356,1744.16,3914.1,triangle_3khz,1_20230323_073000.wav
169.296,169.752,1675.07,3810.05,triangle_3khz,1_20230323_073000.wav
172.896,173.268,1791.79,3914.1,triangle_3khz,1_20230323_073000.wav
179.364,179.796,1630.54,3861.73,triangle_3khz,1_20230323_073000.wav
183.36,183.822,1767.82,3967.19,triangle_3khz,1_20230323_073000.wav
0.552,1.04,2138.05,3783.01,nr_syllable_3khz,1_20230420_070000.wav
1.744,2.312,2162.59,3826.43,nr_syllable_3khz,1_20230420_070000.wav
3.176,3.696,2187.42,3697.64,nr_syllable_3khz,1_20230420_070000.wav
4.304,4.776,2089.81,3740.08,nr_syllable_3khz,1_20230420_070000.wav
53.816,54.264,2537.26,4051.13,nr_syllable_3khz,1_20230420_070000.wav
56.494666667,56.942666667,2424.03,4144.66,nr_syllable_3khz,1_20230420_070000.wav
57.222666667,57.708,2424.03,3959.71,nr_syllable_3khz,1_20230420_070000.wav
59.789333333,60.293333333,2508.46,4097.63,nr_syllable_3khz,1_20230420_070000.wav
61.217333333,61.712,2508.46,4097.63,nr_syllable_3khz,1_20230420_070000.wav
61.908,62.468,2480.0,3914.77,nr_syllable_3khz,1_20230420_070000.wav
67.248,67.758,2424.03,4097.63,nr_syllable_3khz,1_20230420_070000.wav
71.568,72.042,2480.0,4051.13,nr_syllable_3khz,1_20230420_070000.wav
72.282,72.834,2237.92,3870.35,nr_syllable_3khz,1_20230420_070000.wav
73.128,73.74,2342.45,3826.43,nr_syllable_3khz,1_20230420_070000.wav
74.736,75.228,2263.6,3870.35,nr_syllable_3khz,1_20230420_070000.wav
75.972,76.506,2263.6,3870.35,nr_syllable_3khz,1_20230420_070000.wav
77.262,77.754,2138.05,3783.01,nr_syllable_3khz,1_20230420_070000.wav
78.678,79.212,2480.0,3959.71,nr_syllable_3khz,1_20230420_070000.wav
0.24,0.906666667,326.913,481.706,upsweep_500hz,1_20230907_070000.wav
1.946666667,2.72,326.913,502.907,upsweep_500hz,1_20230907_070000.wav
95.056,96.416,5908.08,8780.86,fast_trill_6khz,1_20230907_070000.wav
167.44,167.92,315.841,477.575,upsweep_500hz,1_20230907_070000.wav
167.872,167.888,310.446,313.132,upsweep_500hz,1_20230907_070000.wav
169.28,169.776,353.267,490.078,upsweep_500hz,1_20230907_070000.wav
170.976,171.68,335.472,511.647,upsweep_500hz,1_20230907_070000.wav
420.554666667,421.248,5923.23,8856.83,fast_trill_6khz,1_20230907_070000.wav
469.685333333,470.368,5989.79,8190.4,fast_trill_6khz,1_20230907_070000.wav
565.610666667,566.24,274.089,383.258,upsweep_500hz,1_20230907_070000.wav
567.349333333,568.224,280.284,448.165,upsweep_500hz,1_20230907_070000.wav
569.088,570.016,283.434,453.202,upsweep_500hz,1_20230907_070000.wav
571.04,571.861333333,280.284,448.165,upsweep_500hz,1_20230907_070000.wav
4.788,5.496,1405.96,3861.73,triangle_3khz,1_20230324_063000.wav
12.468,13.272,1816.1,4243.62,triangle_3khz,1_20230324_063000.wav
16.704,17.472,1425.03,3861.73,triangle_3khz,1_20230324_063000.wav
25.068,25.836,1279.44,3861.73,triangle_3khz,1_20230324_063000.wav
29.712,30.456,1483.81,3914.1,triangle_3khz,1_20230324_063000.wav
38.1,38.82,1483.81,3914.1,triangle_3khz,1_20230324_063000.wav
42.144,42.852,1503.93,4075.53,triangle_3khz,1_20230324_063000.wav
48.96,49.704,1444.36,4243.62,triangle_3khz,1_20230324_063000.wav
54.612,55.332,1387.15,3759.07,triangle_3khz,1_20230324_063000.wav
167.88,169.32,6105.3,12136.6,fast_trill_6khz,1_20230324_063000.wav
192.528,193.056,1652.66,4021.0,triangle_3khz,1_20230324_063000.wav
380.088,381.048,1387.15,4021.0,triangle_3khz,1_20230324_063000.wav
409.448,410.2,1463.95,3861.73,triangle_3khz,1_20230324_063000.wav
422.104,422.936,1350.27,4075.53,triangle_3khz,1_20230324_063000.wav
440.496,441.208,1425.03,4243.62,triangle_3khz,1_20230324_063000.wav
448.488,449.192,1332.21,3914.1,triangle_3khz,1_20230324_063000.wav
455.736,456.504,1405.96,4130.81,triangle_3khz,1_20230324_063000.wav
483.768,484.464,1332.21,4186.84,triangle_3khz,1_20230324_063000.wav
492.672,493.36,1228.76,4600.88,triangle_3khz,1_20230324_063000.wav
508.384,509.176,1405.96,4130.81,triangle_3khz,1_20230324_063000.wav
514.096,514.888,1503.93,4075.53,triangle_3khz,1_20230324_063000.wav
520.784,521.408,1425.03,4021.0,triangle_3khz,1_20230324_063000.wav
526.896,527.584,1296.79,4075.53,triangle_3khz,1_20230324_063000.wav
534.752,535.512,1463.95,3967.19,triangle_3khz,1_20230324_063000.wav
541.48,542.232,1332.21,4359.52,triangle_3khz,1_20230324_063000.wav
546.976,547.616,1296.79,4021.0,triangle_3khz,1_20230324_063000.wav
578.4,579.112,1405.96,4130.81,triangle_3khz,1_20230324_063000.wav
585.128,585.816,1545.0,4478.57,triangle_3khz,1_20230324_063000.wav
263.956,264.926666667,1535.62,4097.63,triangle_3khz,1_20230820_070000.wav
428.88,430.116,5836.87,9754.77,fast_trill_6khz,1_20230820_070000.wav
471.516,473.208,5640.41,9426.44,fast_trill_6khz,1_20230820_070000.wav
481.62,483.18,5770.63,9754.77,fast_trill_6khz,1_20230820_070000.wav
15.008,16.053333333,6109.5,7853.18,fast_trill_6khz,1_20230815_070000.wav
24.677333333,25.76,5971.63,7853.18,fast_trill_6khz,1_20230815_070000.wav
44.445333333,45.434666667,6040.17,7675.96,fast_trill_6khz,1_20230815_070000.wav
63.093333333,64.157333333,6040.17,7943.32,fast_trill_6khz,1_20230815_070000.wav
72.109333333,73.154666667,6040.17,7943.32,fast_trill_6khz,1_20230815_070000.wav
78.754666667,80.117333333,5971.63,7675.96,fast_trill_6khz,1_20230815_070000.wav
93.632,94.752,6040.17,7943.32,fast_trill_6khz,1_20230815_070000.wav
104.346666667,105.485333333,5971.63,7853.18,fast_trill_6khz,1_20230815_070000.wav
119.354666667,120.456,6109.5,7943.32,fast_trill_6khz,1_20230815_070000.wav
146.309333333,147.466666667,5836.87,7853.18,fast_trill_6khz,1_20230815_070000.wav
194.32,195.589333333,5971.63,8409.77,fast_trill_6khz,1_20230815_070000.wav
209.925333333,211.045333333,6109.5,7764.07,fast_trill_6khz,1_20230815_070000.wav
404.992,406.746666667,5903.86,9426.44,fast_trill_6khz,1_20230815_070000.wav
415.146666667,416.864,5971.63,9866.73,fast_trill_6khz,1_20230815_070000.wav
424.181333333,425.488,5903.86,10687.3,fast_trill_6khz,1_20230815_070000.wav
431.330666667,432.544,5903.86,10094.5,fast_trill_6khz,1_20230815_070000.wav
454.290666667,455.429333333,5903.86,9866.73,fast_trill_6khz,1_20230815_070000.wav
471.426666667,472.901333333,5770.63,9534.64,fast_trill_6khz,1_20230815_070000.wav
102.549333333,103.872,6057.1,8661.07,fast_trill_6khz,1_20230912_173000.wav
346.64,347.825333333,5836.87,9644.07,fast_trill_6khz,1_20230516_073000.wav
364.438666667,365.437333333,5836.87,8126.71,fast_trill_6khz,1_20230516_073000.wav
583.081333333,584.518666667,5971.63,9005.8,fast_trill_6khz,1_20230516_073000.wav
230.48,231.2,6179.62,8506.29,fast_trill_6khz,1_20230818_173000.wav
235.253333333,236.08,6109.5,8314.34,fast_trill_6khz,1_20230818_173000.wav
240.586666667,241.4,6040.17,8702.68,fast_trill_6khz,1_20230818_173000.wav
244.333333333,245.026666667,6109.5,8314.34,fast_trill_6khz,1_20230818_173000.wav
252.946666667,253.866666667,6109.5,8314.34,fast_trill_6khz,1_20230818_173000.wav
381.813333333,382.946666667,6040.17,7943.32,fast_trill_6khz,1_20230818_173000.wav
81.928,83.141333333,5836.87,8409.77,fast_trill_6khz,1_20230810_073000.wav
96.730666667,98.056,5836.87,7943.32,fast_trill_6khz,1_20230810_073000.wav
102.498666667,103.394666667,5903.86,7588.86,fast_trill_6khz,1_20230810_073000.wav
109.610666667,110.786666667,5705.15,7675.96,fast_trill_6khz,1_20230810_073000.wav
118.010666667,118.981333333,5903.86,7943.32,fast_trill_6khz,1_20230810_073000.wav
123.592,124.693333333,5836.87,7853.18,fast_trill_6khz,1_20230810_073000.wav
131.432,132.645333333,5770.63,7943.32,fast_trill_6khz,1_20230810_073000.wav
138.842666667,139.981333333,5903.86,8034.49,fast_trill_6khz,1_20230810_073000.wav
144.946666667,145.992,5836.87,7853.18,fast_trill_6khz,1_20230810_073000.wav
153.085333333,154.410666667,5836.87,8314.34,fast_trill_6khz,1_20230810_073000.wav
157.92,158.853333333,6040.17,7943.32,fast_trill_6khz,1_20230810_073000.wav
164.397333333,165.461333333,5770.63,8034.49,fast_trill_6khz,1_20230810_073000.wav
170.184,171.005333333,5903.86,7675.96,fast_trill_6khz,1_20230810_073000.wav
177.184,178.304,5770.63,7853.18,fast_trill_6khz,1_20230810_073000.wav
238.354666667,238.933333333,5770.63,7764.07,fast_trill_6khz,1_20230810_073000.wav
253.512,254.389333333,5705.15,7853.18,fast_trill_6khz,1_20230810_073000.wav
262.602666667,263.778666667,5770.63,8126.71,fast_trill_6khz,1_20230810_073000.wav
595.952,597.370666667,5836.87,9319.47,fast_trill_6khz,1_20230810_073000.wav
247.946666667,248.533333333,2078.0,3861.73,nr_syllable_3khz,1_20230328_060000.wav
248.736,249.376,1891.0,3861.73,nr_syllable_3khz,1_20230328_060000.wav
249.482666667,250.165333333,1697.79,3759.06,nr_syllable_3khz,1_20230328_060000.wav
250.282666667,250.922666667,1791.79,3861.73,nr_syllable_3khz,1_20230328_060000.wav
251.04,251.690666667,1891.0,3967.19,nr_syllable_3khz,1_20230328_060000.wav
166.133333333,166.72,296.391,374.787,upsweep_500hz,1_20230908_070000.wav
167.906666667,168.88,277.169,400.779,upsweep_500hz,1_20230908_070000.wav
169.866666667,170.573333333,299.722,414.443,upsweep_500hz,1_20230908_070000.wav
171.746666667,172.346666667,309.94,423.81,upsweep_500hz,1_20230908_070000.wav
173.546666667,174.2,309.94,428.573,upsweep_500hz,1_20230908_070000.wav
326.786666667,327.613333333,299.722,428.573,upsweep_500hz,1_20230908_070000.wav
328.64,329.52,296.391,463.445,upsweep_500hz,1_20230908_070000.wav
330.48,331.4,303.09,453.202,upsweep_500hz,1_20230908_070000.wav
332.373333333,333.066666667,293.097,433.389,upsweep_500hz,1_20230908_070000.wav
349.453333333,350.546666667,6194.01,8099.38,fast_trill_6khz,1_20230908_070000.wav
370.853333333,371.96,5989.79,7920.36,fast_trill_6khz,1_20230908_070000.wav
380.96,381.693333333,299.722,453.202,upsweep_500hz,1_20230908_070000.wav
382.786666667,383.573333333,277.169,473.92,upsweep_500hz,1_20230908_070000.wav
383.44,384.84,5857.4,7574.11,fast_trill_6khz,1_20230908_070000.wav
384.626666667,385.36,299.722,448.165,upsweep_500hz,1_20230908_070000.wav
386.44,387.266666667,293.097,428.573,upsweep_500hz,1_20230908_070000.wav
402.84,404.026666667,6263.61,7920.36,fast_trill_6khz,1_20230908_070000.wav
416.013333333,416.893333333,5989.79,7745.3,fast_trill_6khz,1_20230908_070000.wav
423.506666667,424.52,6125.17,7574.11,fast_trill_6khz,1_20230908_070000.wav
425.613333333,426.413333333,5923.23,7832.34,fast_trill_6khz,1_20230908_070000.wav
436.52,437.266666667,6263.61,7489.94,fast_trill_6khz,1_20230908_070000.wav
444.48,445.696,289.84,433.389,upsweep_500hz,1_20230908_070000.wav
446.368,447.456,303.09,448.165,upsweep_500hz,1_20230908_070000.wav
448.32,449.253333333,296.391,419.1,upsweep_500hz,1_20230908_070000.wav
456.0,456.928,6057.1,8282.44,fast_trill_6khz,1_20230908_070000.wav
462.656,463.664,5792.31,7832.34,fast_trill_6khz,1_20230908_070000.wav
467.936,468.832,5989.79,8190.4,fast_trill_6khz,1_20230908_070000.wav
425.22,426.396,5836.87,7943.32,fast_trill_6khz,1_20230518_070000.wav
475.056,476.112,5971.63,7764.07,fast_trill_6khz,1_20230518_070000.wav
36.672,37.258666667,2843.99,3959.71,nr_syllable_3khz,1_20230720_063000.wav
38.069333333,38.570666667,2686.25,3655.68,nr_syllable_3khz,1_20230720_063000.wav
39.008,39.576,2655.77,3740.08,nr_syllable_3khz,1_20230720_063000.wav
39.896,40.448,2625.63,3783.01,nr_syllable_3khz,1_20230720_063000.wav
40.736,41.256,2655.77,3870.35,nr_syllable_3khz,1_20230720_063000.wav
